0-1背包问题实验数据

算法: 动态规划法
执行时间: 257.00 ms
背包容量: 10000

物品编号,重量,价值
1035,11,355.67
1036,3,161.32
1039,24,349.34
1041,26,404.55
1046,11,335.27
1049,9,327.31
1052,31,353.30
1054,4,280.14
1059,24,321.76
1061,11,420.02
1063,22,376.88
1064,20,318.49
1071,8,385.19
1073,2,427.45
1086,2,287.48
1091,11,394.53
1095,7,351.55
1098,4,170.85
1106,20,252.81
1109,9,223.05
1116,22,303.00
1121,19,412.64
1125,27,323.24
1126,17,252.07
1139,10,372.41
1147,3,165.54
1150,18,408.70
1153,16,422.45
1155,2,179.06
1159,14,312.28
1176,5,369.85
1178,8,121.35
1179,14,383.08
1184,16,330.28
1198,11,360.62
1201,32,413.22
1217,21,321.40
1218,8,373.63
1219,14,227.20
1226,6,329.85
1227,1,143.74
1229,4,196.40
1230,26,401.60
1242,23,413.54
1247,7,186.23
1250,8,230.88
1255,6,176.25
1262,3,335.26
1266,3,327.89
1267,32,394.73
1268,26,318.21
1270,6,301.52
1271,12,280.49
1273,32,378.04
1285,22,370.38
1293,8,220.61
1298,5,262.28
1306,2,355.50
1309,1,113.19
1310,16,356.08
1313,1,202.91
1316,24,421.23
1317,6,131.97
1318,2,184.91
1328,6,183.40
1335,11,305.11
1342,13,257.53
1343,8,354.06
1351,4,106.38
1352,14,261.96
1355,27,414.91
1356,5,330.21
1359,19,341.17
1364,30,345.99
1365,3,100.39
1368,17,423.66
1371,4,411.01
1375,15,401.06
1376,13,208.90
1381,2,186.59
1383,30,374.42
1387,28,350.26
1393,35,426.31
1405,13,297.95
1408,3,178.39
1410,16,213.83
1417,31,410.90
1418,15,420.35
1422,12,200.50
1425,3,260.58
1428,12,238.17
1429,25,387.71
1431,1,189.55
1438,9,181.31
1440,3,210.05
1441,13,224.72
1442,15,379.33
1450,29,341.31
1461,5,303.80
1463,3,311.58
1465,25,281.59
1466,6,333.51
1467,21,384.17
1474,8,130.40
1481,19,313.98
1482,8,218.54
1483,22,381.16
1484,3,400.91
1486,30,350.13
1489,11,381.60
1500,3,130.68
1532,15,239.48
1533,14,246.15
1534,32,404.20
1538,5,142.81
1539,17,320.91
1549,20,420.74
1571,17,260.30
1575,9,370.82
1577,28,402.26
1584,9,202.47
1588,4,124.44
1589,17,396.24
1607,14,254.33
1608,12,350.80
1609,3,146.34
1610,1,357.83
1616,10,216.58
1618,13,240.92
1629,10,402.90
1635,25,341.90
1637,9,368.82
1642,18,366.55
1648,3,167.74
1651,8,326.89
1660,25,278.55
1664,11,290.63
1671,25,350.19
1678,15,414.76
1684,22,320.30
1685,15,300.12
1688,8,394.50
1699,27,346.63
1703,7,384.61
1704,5,332.76
1707,2,404.05
1710,10,333.97
1713,6,280.54
1715,17,196.09
1716,14,155.94
1717,21,409.68
1720,18,253.95
1722,15,287.79
1723,25,290.29
1724,19,426.75
1749,10,260.85
1750,13,234.14
1762,16,253.41
1763,5,382.02
1772,2,122.06
1777,8,423.87
1778,16,256.68
1779,23,286.65
1781,7,327.89
1783,5,289.89
1786,24,277.58
1790,7,309.89
1797,24,307.68
1800,14,202.33
1801,25,344.35
1802,12,137.15
1809,19,382.26
1813,22,265.83
1815,11,205.25
1816,18,228.61
1819,25,380.48
1822,14,280.61
1831,13,322.59
1833,3,259.23
1835,8,116.73
1846,13,284.86
1856,8,100.51
1861,2,214.17
1869,9,365.74
1875,8,130.69
1880,5,154.16
1886,11,124.42
1890,5,260.10
1892,9,419.21
1895,9,286.20
1896,5,378.74
1897,20,238.90
1898,3,293.58
1899,14,318.25
1901,8,244.84
1904,19,393.08
1913,2,296.82
1914,21,396.88
1918,10,259.91
1921,18,219.97
1925,5,168.75
1926,5,242.48
1927,22,262.50
1928,17,191.83
1929,23,310.08
1930,15,207.09
1931,6,408.98
1933,15,242.36
1936,20,244.18
1937,20,272.50
1939,7,303.00
1940,20,289.95
1943,18,198.83
1946,30,398.53
1951,17,337.90
1952,23,395.04
1957,5,141.35
1959,23,389.58
1969,3,152.35
1971,19,340.32
1973,25,363.40
1978,17,331.83
1981,22,326.90
1985,6,134.08
1991,6,168.88
1993,24,385.41
1995,28,309.90
1998,25,286.08
2006,31,369.80
2019,10,359.00
2020,2,243.43
2024,24,300.74
2026,13,426.44
2030,12,303.95
2033,9,241.01
2035,9,425.49
2037,11,335.73
2040,14,193.87
2044,13,201.46
2052,14,290.30
2058,15,263.64
2066,7,348.08
2068,18,294.03
2069,4,257.21
2070,15,352.30
2072,6,108.14
2075,11,222.35
2086,3,392.35
2089,17,296.84
2090,2,358.56
2095,16,364.61
2101,17,385.60
2106,3,121.27
2111,2,291.62
2112,4,221.98
2122,22,330.41
2124,1,427.34
2126,33,421.52
2137,16,323.24
2139,14,207.92
2146,3,266.57
2149,19,379.20
2153,14,331.91
2157,6,287.11
2159,6,411.21
2160,6,398.43
2161,2,185.32
2162,27,324.97
2165,17,374.75
2167,36,414.96
2170,2,108.88
2177,19,329.43
2182,10,328.16
2185,27,305.36
2188,11,383.44
2193,27,400.93
2195,2,180.01
2196,7,147.11
2206,6,209.38
2215,38,419.03
2216,15,368.95
2221,19,363.19
2225,3,419.85
2232,13,231.93
2237,28,390.74
2238,10,165.14
2243,19,393.95
2244,6,367.21
2246,12,141.37
2247,4,111.79
2254,17,273.49
2270,6,275.65
2274,4,348.26
2277,6,191.97
2282,13,416.43
2283,8,354.02
2286,10,182.91
2291,10,256.01
2304,22,384.39
2308,31,362.57
2313,25,416.81
2318,16,382.45
2320,9,306.37
2325,30,383.15
2334,7,338.89
2344,31,413.30
2346,22,417.07
2364,20,343.79
2372,10,262.59
2376,20,218.92
2382,4,374.46
2385,18,338.37
2388,8,316.89
2390,18,335.19
2397,32,418.73
2424,1,277.43
2428,17,365.37
2429,27,405.65
2435,18,242.74
2436,18,379.57
2442,8,107.11
2443,16,185.32
2449,10,392.57
2456,15,250.93
2458,13,226.58
2459,4,255.68
2462,31,394.85
2466,22,346.15
2470,15,218.53
2475,31,383.44
2476,14,172.28
2480,20,246.77
2484,16,297.10
2486,17,365.41
2487,17,358.38
2491,9,268.19
2493,7,353.62
2496,32,357.77
2500,3,370.49
2501,15,413.59
2508,3,148.76
2509,13,421.19
2518,7,424.00
2528,31,398.00
2530,21,381.84
2532,1,211.47
2543,12,401.01
2546,21,275.22
2550,19,274.95
2556,11,409.84
2559,12,322.06
2562,17,187.95
2565,11,127.15
2575,29,383.00
2577,15,275.65
2582,35,418.10
2584,9,220.96
2585,17,331.16
2587,15,240.63
2588,4,136.97
2590,7,254.36
2591,30,388.39
2592,31,420.46
2598,5,380.41
2602,2,135.26
2603,20,376.03
2605,25,424.72
2606,17,345.50
2611,34,406.74
2612,10,367.27
2613,37,421.68
2617,12,194.47
2622,33,404.54
2626,27,380.86
2628,12,240.34
2632,27,369.84
2640,6,204.92
2644,19,233.22
2647,28,340.12
2648,4,265.66
2649,6,287.49
2653,16,413.24
2659,31,409.22
2662,19,249.12
2672,28,404.47
2680,7,142.62
2687,21,413.37
2693,4,241.26
2695,7,228.23
2696,13,333.19
2713,9,356.22
2720,6,425.40
2735,14,249.85
2739,35,397.68
2741,1,294.64
2746,1,347.15
2751,4,378.44
2755,20,224.85
2756,32,404.64
2761,8,352.30
2766,20,287.20
2767,22,288.21
2769,13,248.62
2770,3,404.35
2781,16,285.59
2782,15,389.54
2785,3,105.95
2789,4,240.27
2790,7,222.57
2793,8,259.06
2797,24,393.98
2798,13,266.41
2799,2,154.31
2813,23,326.54
2816,22,405.34
2817,2,109.56
2818,5,142.04
2820,6,190.17
2822,21,334.12
2827,1,205.36
2828,3,119.13
2831,29,373.59
2834,22,330.37
2842,2,102.83
2850,11,223.97
2859,7,234.95
2861,6,266.15
2863,27,324.62
2864,29,356.51
2868,30,331.10
2869,21,293.40
2877,9,252.01
2880,29,372.32
2887,30,337.29
2893,23,327.72
2903,11,187.68
2906,10,305.36
2909,17,347.74
2922,28,366.83
2923,17,199.82
2925,14,340.66
2928,31,405.18
2930,19,394.16
2936,8,412.45
2937,15,356.59
2938,10,274.97
2955,9,325.83
2979,5,129.62
2980,33,365.46
2981,13,287.71
2983,25,326.58
2985,23,396.94
2996,13,306.67
2998,33,378.61

选中物品数量: 693
总重量: 10000
总价值: 208410.53
容量利用率: 100.00%
==========================================

